Sam	Sam Base/E
Helen says that Hiro, a member of the Einherjar, doesn't remember why he was revived.	
The rain has messed up the field and the enemy team seems to be determined to crush your team.	
Helen seems to be curious about Bora's covered eye. What should we answer?	
Ogre's pony tail slapped Helen in the face!	
It's a throwing chance, but the opponent team player suddenly jumps in joy saying his baby brother is born. What should you do?	
Helen is suddenly showing massive improvement in her performance. She must've learned something during a match.	
Helen says that the Swirlies are missing.	
Helen says she forgot to use her skill points before entering the match. What should we say to her?	
You witness Fontus, the most violent and powerful creature in the universe, flying the night sky in a Santa costume.	
Helen picked up a diary. It says Bell on the cover.	
Sorrow suddenly flies off after seeing a shiny object in the sky.	
Helen is irritated because her opponent has the attribute advantage over her.	
Helen thinks Nana on the other team actually isn't a raccoon.	
Helen seems to be lost after having a good match while her fortune-telling said things would go wrong. Let's talk to her.	
With a serious face, Helen is asking what the true meaning of competition is. Let's give her an answer.	
Helen came to you after the match, and says she's disappointed at the team's boring strategy. What should we say?	
Helen is curious of the whereabouts of the managers that are nowhere to be seen during the match. Let's give her an answer.	
The team is having a good run and Helen is sure that winning the League is a matter of time.	
Helen seems to be very confused of how a small soccer ball can change the fate of the universe.	
Helen seems to be upset about losing a body check against her opponent.	
Helen is asking what the conditions of a team ace are with a serious face. Let's talk with her.	
Helen is surprised of how sturdy the ball is, as it withstands the strength of angels, demons, and even beings of unknown worlds.	
Helen plans to continue playing soccer even after the Galaxy League ends. Let's talk with her.	
It's a hard match and your team is losing. Talk with Helen and talk about what to do.	
Helen seems to be lost. She says she no longer hates the rival team.	
You were enjoying the peaceful day on Earth until the Peacemakers suddenly showed up. At that moment, the Magical Girl Elements came to save the day!	
Vitos suddenly laughs in joy during the match against the Empire. Why?	
Helen's form has been improving rapidly. She says she can't wait for the next match. What should we say to her?	
During a match, Helen bumped into a teammate and knocked the player out. She seems depressed. What should we say to cheer her up?	
Helen is complaining about restricted from playing the next match for receiving too many fouls. Let's talk to her.	
You're at the Yggdrasil memorial ceremony. The Yggdrasil Guardians are parading through the festive crowd.	
Helen is suddenly taking interest in who Shootmeister actually is. What should we say?	
Your team is playing against the Scout Entries and Malcolm seems to be enjoying himself a little too much. Helen is starting to get intimidated.	
Helen is worried about the team's poor performance. Let's go talk to her.	
Helen is curious about the Galaxy League. What answer will help her?	
Helen wants to hear about your plans on training the new players. What should we answer?	
Helen is being sentimental about how soccer, which was supposed to be a one time thing, became her life. Let's talk with her.	
Helen is asking what to buy in the souvenir shop. Let's give her an opinion.	
Helen is asking who you think of first when you win a match. Let's answer.	
This match will be held on Earth. We still have some time. What do you want to do?	
Helen says that Hiro, a member of the Einherjar, doesn't remember why he was revived.	
The rain has messed up the field and the enemy team seems to be determined to crush your team.	
Helen seems to be curious about Bora's covered eye. What should we answer?	
Ogre's pony tail slapped Helen in the face!	
It's a throwing chance, but the opponent team player suddenly jumps in joy saying his baby brother is born. What should you do?	
Helen is suddenly showing massive improvement in her performance. She must've learned something during a match.	
Helen says that the Swirlies are missing.	
Helen says she forgot to use her skill points before entering the match. What should we say to her?	
You witness Fontus, the most violent and powerful creature in the universe, flying the night sky in a Santa costume.	
Helen picked up a diary. It says Bell on the cover.	
Sorrow suddenly flies off after seeing a shiny object in the sky.	
Helen is irritated because her opponent has the attribute advantage over her.	
Helen thinks Nana on the other team actually isn't a raccoon.	
Helen seems to be lost after having a good match while her fortune-telling said things would go wrong. Let's talk to her.	
With a serious face, Helen is asking what the true meaning of competition is. Let's give her an answer.	
Helen came to you after the match, and says she's disappointed at the team's boring strategy. What should we say?	
Helen is curious of the whereabouts of the managers that are nowhere to be seen during the match. Let's give her an answer.	
The team is having a good run and Helen is sure that winning the League is a matter of time.	
Helen seems to be very confused of how a small soccer ball can change the fate of the universe.	
Helen seems to be upset about losing a body check against her opponent.	
Helen is asking what the conditions of a team ace are with a serious face. Let's talk with her.	
Helen is surprised of how sturdy the ball is, as it withstands the strength of angels, demons, and even beings of unknown worlds.	
Helen plans to continue playing soccer even after the Galaxy League ends. Let's talk with her.	
It's a hard match and your team is losing. Talk with Helen and talk about what to do.	
Helen seems to be lost. She says she no longer hates the rival team.	
You were enjoying the peaceful day on Earth until the Peacemakers suddenly showed up. At that moment, the Magical Girl Elements came to save the day!	
Vitos suddenly laughs in joy during the match against the Empire. Why?	
Helen's form has been improving rapidly. She says she can't wait for the next match. What should we say to her?	
During a match, Helen bumped into a teammate and knocked the player out. She seems depressed. What should we say to cheer her up?	
Helen is complaining about restricted from playing the next match for receiving too many fouls. Let's talk to her.	
You're at the Yggdrasil memorial ceremony. The Yggdrasil Guardians are parading through the festive crowd.	
Helen is suddenly taking interest in who Shootmeister actually is. What should we say?	
Your team is playing against the Scout Entries and Malcolm seems to be enjoying himself a little too much. Helen is starting to get intimidated.	
	
Yuran	
The team made it up to the semi-finals after counting the goal differences. Yuran asks how you feel. How should we answer?	
Yuran suggests that we have a team dinner to lighten things up. What will be your reaction?	
Yuran is saying that her teammates are what keeps her going.	
Yuran has shown outstanding performance on both the offensive and defensive side. She is asking for your evaluation on her plays. Let's give her an answer.	
As Yuran said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to her.	
The crowd is cheering for Yuran. Yuran seems to find this situation new and a bit uncomfortable. Let's help her out.	
Yuran is impressed by the help she received from the elementals. Let's talk to her.	
Yuran was watching penguins play soccer and suddenly decided to raise a pet penguin herself. Let's talk to her.	
The team will not have a match for some time. Yuran asks you about your plan.	
It's a very intense match and Yuran falls on the ground, but a player on the other team helps Yuran up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across Yuran having an intense staring contest with the captain of the opposing team. What should we say?	
Yuran is surrounded by fans and seems to be overwhelmed. Let's talk to her.	
Yuran scored a hat trick and led the team to a complete victory! Congratulate her!	
A player on the other side is on the field with his arms tied up. Let's talk about this with Yuran.	
Yuran falls to the ground after clashing with the opponent. What should we say to her?	
Yuran lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with Yuran. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. Yuran is curious and wants to take a look.	
Yuran brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
You find Yuran depressed for not playing well during the match. Let's cheer her up.	
Yuran is questioning your promise to make the best team ever. It's time to redeem yourself.	
You come across Yuran being lost and wandering around while going back to the lodging. Let's talk to her.	
Yuran is asking about your thoughts on meeting an extraterrestrial being. Let's give her an answer.	
Yuran is having trouble with continuing nightmares. Let's talk to her.	
Yuran is stressed out saying her opponent has the upper ground on every aspect. What should we do?	
Yuran seems to be satisfied with the perfect team work. Let's talk to her.	
You come across Yuran who is limping. She says it's nothing. What should we do?	
You visit Marilyn's house and see Hildegard eating ramen.	
You're watching the storm with Yuran and you spot Princess Meiran taking a walk while humming.	
Yuran looks nervous because the team will be moving to the planet where the next match will be held by taking a space shuttle without the help of Littre.	
Yuran's opponent is smiling whenever they confront each other on the field. Yuran seems to be nervous. Let's talk to her.	
Baltheon, who was upset when he was asked about his past, suddenly started to feel better when he saw Yuran.	
The members of Siena Celtron are furiously searching the stadium for Kuma.	
The game ended as a tie, but it seems that the competition between Yuran and her opponent isn't over yet.	
The team will be cleaning up the lodging. What will you have Yuran do?	
The opponent team is spreading rumors that they lost because your team played dirty. What should we do?	
A player on the other team says soccer became enjoyable after confronting Yuran. What should you say?	
Yuran is angry about the opponent's resilient attack on you. What should we say?	
Latios is chatting with Yuran after the match. Let's barge in.	
The team made it up to the semi-finals after counting the goal differences. Yuran asks how you feel. How should we answer?	
Yuran suggests that we have a team dinner to lighten things up. What will be your reaction?	
Yuran is saying that her teammates are what keeps her going.	
Yuran has shown outstanding performance on both the offensive and defensive side. She is asking for your evaluation on her plays. Let's give her an answer.	
As Yuran said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to her.	
The crowd is cheering for Yuran. Yuran seems to find this situation new and a bit uncomfortable. Let's help her out.	
Yuran is impressed by the help she received from the elementals. Let's talk to her.	
Yuran was watching penguins play soccer and suddenly decided to raise a pet penguin herself. Let's talk to her.	
The team will not have a match for some time. Yuran asks you about your plan.	
It's a very intense match and Yuran falls on the ground, but a player on the other team helps Yuran up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across Yuran having an intense staring contest with the captain of the opposing team. What should we say?	
Yuran is surrounded by fans and seems to be overwhelmed. Let's talk to her.	
Yuran scored a hat trick and led the team to a complete victory! Congratulate her!	
A player on the other side is on the field with his arms tied up. Let's talk about this with Yuran.	
Yuran falls to the ground after clashing with the opponent. What should we say to her?	
Yuran lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with Yuran. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. Yuran is curious and wants to take a look.	
Yuran brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
You find Yuran depressed for not playing well during the match. Let's cheer her up.	
Yuran is questioning your promise to make the best team ever. It's time to redeem yourself.	
You come across Yuran being lost and wandering around while going back to the lodging. Let's talk to her.	
Yuran is asking about your thoughts on meeting an extraterrestrial being. Let's give her an answer.	
Yuran is having trouble with continuing nightmares. Let's talk to her.	
Yuran is stressed out saying her opponent has the upper ground on every aspect. What should we do?	
Yuran seems to be satisfied with the perfect team work. Let's talk to her.	
You come across Yuran who is limping. She says it's nothing. What should we do?	
You visit Marilyn's house and see Hildegard eating ramen.	
You're watching the storm with Yuran and you spot Princess Meiran taking a walk while humming.	
Yuran looks nervous because the team will be moving to the planet where the next match will be held by taking a space shuttle without the help of Littre.	
Yuran's opponent is smiling whenever they confront each other on the field. Yuran seems to be nervous. Let's talk to her.	
Baltheon, who was upset when he was asked about his past, suddenly started to feel better when he saw Yuran.	
The members of Siena Celtron are furiously searching the stadium for Kuma.	
The game ended as a tie, but it seems that the competition between Yuran and her opponent isn't over yet.	
The team will be cleaning up the lodging. What will you have Yuran do?	
The opponent team is spreading rumors that they lost because your team played dirty. What should we do?	
A player on the other team says soccer became enjoyable after confronting Yuran. What should you say?	
Yuran is angry about the opponent's resilient attack on you. What should we say?	
Latios is chatting with Yuran after the match. Let's barge in.	
	
William	
The team made it up to the semi-finals after counting the goal differences. William asks how you feel. How should we answer?	
William suggests that we have a team dinner to lighten things up. What will be your reaction?	
William is saying that his teammates are what keeps him going.	
William has shown outstanding performance on both the offensive and defensive side. He is asking for your evaluation on his plays. Let's give him an answer.	
As William said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to him.	
The crowd is cheering for William. William seems to find this situation new and a bit uncomfortable. Let's help him out.	
William is impressed by the help he received from the elementals. Let's talk to him.	
William was watching penguins play soccer and suddenly decided to raise a pet penguin himself. Let's talk to him.	
The team will not have a match for some time. William asks you about your plan.	
It's a very intense match and William falls on the ground, but a player on the other team helps William up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across William having an intense staring contest with the captain of the opposing team. What should we say?	
William is surrounded by fans and seems to be overwhelmed. Let's talk to him.	
William scored a hat trick and led the team to a complete victory! Congratulate him!	
A player on the other side is on the field with his arms tied up. Let's talk about this with William.	
William falls to the ground after clashing with the opponent. What should we say to him?	
William lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with William. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. William is curious and wants to take a look.	
William brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
William seems to be lost after having a good match while his fortune-telling said things would go wrong. Let's talk to him.	
With a serious face, William is asking what the true meaning of competition is. Let's give him an answer.	
William came to you after the match, and says he's disappointed at the team's boring strategy. What should we say?	
William is curious of the whereabouts of the managers that are nowhere to be seen during the match. Let's give him an answer.	
The team is having a good run and William is sure that winning the League is a matter of time.	
William seems to be very confused of how a small soccer ball can change the fate of the universe.	
William seems to be upset about losing a body check against his opponent.	
William is asking what the conditions of a team ace are with a serious face. Let's talk with him.	
William is surprised of how sturdy the ball is, as it withstands the strength of angels, demons, and even beings of unknown worlds.	
William plans to continue playing soccer even after the Galaxy League ends. Let's talk with him.	
It's a hard match and your team is losing. Talk with William and talk about what to do.	
William seems to be lost. He says he no longer hates the rival team.	
You were enjoying the peaceful day on Earth until the Peacemakers suddenly showed up. At that moment, the Magical Girl Elements came to save the day!	
Vitos suddenly laughs in joy during the match against the Empire. Why?	
William's form has been improving rapidly. He says he can't wait for the next match. What should we say to him?	
During a match, William bumped into a teammate and knocked the player out. He seems depressed. What should we say to cheer him up?	
William is complaining about restricted from playing the next match for receiving too many fouls. Let's talk to him.	
You're at the Yggdrasil memorial ceremony. The Yggdrasil Guardians are parading through the festive crowd.	
William is suddenly taking interest in who Shootmeister actually is. What should we say?	
Your team is playing against the Scout Entries and Malcolm seems to be enjoying himself a little too much. William is starting to get intimidated.	
The team made it up to the semi-finals after counting the goal differences. William asks how you feel. How should we answer?	
William suggests that we have a team dinner to lighten things up. What will be your reaction?	
William is saying that his teammates are what keeps him going.	
William has shown outstanding performance on both the offensive and defensive side. He is asking for your evaluation on his plays. Let's give him an answer.	
As William said, the universe is facing a new course of destiny because of the Galaxy League. Let's talk to him.	
The crowd is cheering for William. William seems to find this situation new and a bit uncomfortable. Let's help him out.	
William is impressed by the help he received from the elementals. Let's talk to him.	
William was watching penguins play soccer and suddenly decided to raise a pet penguin himself. Let's talk to him.	
The team will not have a match for some time. William asks you about your plan.	
It's a very intense match and William falls on the ground, but a player on the other team helps William up and the two exchange smiles.	
The next opponent is the Lab Rat Entry. You hear that all of the players on the other team are victims of experiments and this makes you feel uncomfortable.	
You're walking in a narrow ally and come across William having an intense staring contest with the captain of the opposing team. What should we say?	
William is surrounded by fans and seems to be overwhelmed. Let's talk to him.	
William scored a hat trick and led the team to a complete victory! Congratulate him!	
A player on the other side is on the field with his arms tied up. Let's talk about this with William.	
William falls to the ground after clashing with the opponent. What should we say to him?	
William lost to the opponent and fell to the ground. What should we do?	
You come across Sammy while walking the street with William. Let's talk to her.	
Lynia is cleaning the streets with the members of Jeneva Crew. William is curious and wants to take a look.	
William brought a drink that she says received from the coach on the other team. It looks very suspicious especially with the dark fumes coming out of it.	
William seems to be lost after having a good match while his fortune-telling said things would go wrong. Let's talk to him.	
With a serious face, William is asking what the true meaning of competition is. Let's give him an answer.	
William came to you after the match, and says he's disappointed at the team's boring strategy. What should we say?	
William is curious of the whereabouts of the managers that are nowhere to be seen during the match. Let's give him an answer.	
The team is having a good run and William is sure that winning the League is a matter of time.	
William seems to be very confused of how a small soccer ball can change the fate of the universe.	
William seems to be upset about losing a body check against his opponent.	
William is asking what the conditions of a team ace are with a serious face. Let's talk with him.	
William is surprised of how sturdy the ball is, as it withstands the strength of angels, demons, and even beings of unknown worlds.	
William plans to continue playing soccer even after the Galaxy League ends. Let's talk with him.	
It's a hard match and your team is losing. Talk with William and talk about what to do.	
William seems to be lost. He says he no longer hates the rival team.	
You were enjoying the peaceful day on Earth until the Peacemakers suddenly showed up. At that moment, the Magical Girl Elements came to save the day!	
Vitos suddenly laughs in joy during the match against the Empire. Why?	
William's form has been improving rapidly. He says he can't wait for the next match. What should we say to him?	
During a match, William bumped into a teammate and knocked the player out. He seems depressed. What should we say to cheer him up?	
William is complaining about restricted from playing the next match for receiving too many fouls. Let's talk to him.	
You're at the Yggdrasil memorial ceremony. The Yggdrasil Guardians are parading through the festive crowd.	
William is suddenly taking interest in who Shootmeister actually is. What should we say?	
Your team is playing against the Scout Entries and Malcolm seems to be enjoying himself a little too much. William is starting to get intimidated.	
	
Sean	
Sean is asking about the team's goal of this season. What should you tell him?	
Sean is asking about my ideal type of person. Should be careful about answering this...	
Sean seems to be thinking that the team has already become the best in the universe. He seems a bit too carried away. What should you do?	
Sean is arrogantly looking down at the other team. Let's stop him from causing any problems.	
Does one have to make intentional fouls in order to win? Let's give him some advice.	
Sean is having trouble deciding a name for his special move. His options are ''Infinity Illusion Shot'', ''11th Dimension Ultra Gravity Shot'', ''Astral Space Shot'', and a few more.	
Sean is all alone in the locker room worrying about the fate of the universe. Let's go talk to him.	
Sean is making a scene. He'd rather jump into space than to be eaten alive by vicious aliens.	
Sean is blaming the team for their pass mistakes and is questioning their soccer skills.	
Sean is complaining that it's boring to play only soccer every day. What should we say to him?	
It's before the 2nd half, and Sean is complaining that we're up against an opponent that's too strong.	
You forgot to lock Sean and almost used him as training material! He looks very upset!	
Sean is confused that he won the MVP. What should you tell him?	
Sean is talking with the team about what they would be doing if they didn't start soccer. Let's join them.	
